"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3'ETS-leuZ",0,NA,NA,NA,NA,NA
"C0293",0,NA,NA,NA,NA,NA
"V6",0,NA,NA,NA,NA,NA
"aaaD",0,NA,NA,NA,NA,NA
"aaaE",0,NA,NA,NA,NA,NA
"aaeA",0,NA,NA,NA,NA,NA
"aaeB",0,NA,NA,NA,NA,NA
"aaeR",0,NA,NA,NA,NA,NA
"aaeX",0,NA,NA,NA,NA,NA
"aas",0,NA,NA,NA,NA,NA
"aat",0,NA,NA,NA,NA,NA
"abgA",0,NA,NA,NA,NA,NA
"abgB",0,NA,NA,NA,NA,NA
"abgR",0,NA,NA,NA,NA,NA
"abgT",0,NA,NA,NA,NA,NA
"abpA",0,NA,NA,NA,NA,NA
"abpB",0,NA,NA,NA,NA,NA
"abrB",0,NA,NA,NA,NA,NA
"accA",0,NA,NA,NA,NA,NA
"accB",0,NA,NA,NA,NA,NA
"accC",0,NA,NA,NA,NA,NA
"accD",0,NA,NA,NA,NA,NA
"aceA",0,NA,NA,NA,NA,NA
"aceB",0,NA,NA,NA,NA,NA
"aceE",0,NA,NA,NA,NA,NA
"aceF",0,NA,NA,NA,NA,NA
"aceK",0,NA,NA,NA,NA,NA
"aceK-int",0,NA,NA,NA,NA,NA
"ackA",0,NA,NA,NA,NA,NA
"acnA",0,NA,NA,NA,NA,NA
"acnB",0,NA,NA,NA,NA,NA
"acpH",0,NA,NA,NA,NA,NA
"acpP",0,NA,NA,NA,NA,NA
"acpS",0,NA,NA,NA,NA,NA
"acpT",0,NA,NA,NA,NA,NA
"acrA",0,NA,NA,NA,NA,NA
"acrB",0,NA,NA,NA,NA,NA
"acrD",0,NA,NA,NA,NA,NA
"acrE",0,NA,NA,NA,NA,NA
"acrF",0,NA,NA,NA,NA,NA
"acrR",1.32097554223641,-4.30501432519578,3.07690416915256,-1.39913825342876,0.161771528422619,0.24650899569161
"acrZ",0,NA,NA,NA,NA,NA
"acs",0,NA,NA,NA,NA,NA
"actP",0,NA,NA,NA,NA,NA
"actS",0,NA,NA,NA,NA,NA
"ada",0,NA,NA,NA,NA,NA
"add",0,NA,NA,NA,NA,NA
"adeD",0,NA,NA,NA,NA,NA
"adeP",0,NA,NA,NA,NA,NA
"adeQ",0,NA,NA,NA,NA,NA
"adhE",0,NA,NA,NA,NA,NA
"adhP",0,NA,NA,NA,NA,NA
"adiA",0,NA,NA,NA,NA,NA
"adiC",0,NA,NA,NA,NA,NA
"adiY",0,NA,NA,NA,NA,NA
"adk",0,NA,NA,NA,NA,NA
"aegA",0,NA,NA,NA,NA,NA
"aer",0,NA,NA,NA,NA,NA
"aes",0,NA,NA,NA,NA,NA
"afuB",0,NA,NA,NA,NA,NA
"afuC",0,NA,NA,NA,NA,NA
"agaA",0,NA,NA,NA,NA,NA
"agaB",0,NA,NA,NA,NA,NA
"agaC",0,NA,NA,NA,NA,NA
"agaD",0,NA,NA,NA,NA,NA
"agaI",0,NA,NA,NA,NA,NA
"agaR",0,NA,NA,NA,NA,NA
"agaS",0,NA,NA,NA,NA,NA
"agaV",0,NA,NA,NA,NA,NA
"agaW",0,NA,NA,NA,NA,NA
"agp",0,NA,NA,NA,NA,NA
"agrA",0,NA,NA,NA,NA,NA
"agrB",0,NA,NA,NA,NA,NA
"ahpC",0,NA,NA,NA,NA,NA
"ahpF",0,NA,NA,NA,NA,NA
"ahr",0,NA,NA,NA,NA,NA
"aidB",0,NA,NA,NA,NA,NA
"ais",0,NA,NA,NA,NA,NA
